1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-11,-11,0,0,0,0,79,79,259,0,259,0,882,0,547,131,204,0,0,0,0,0,0,0,0,0,3695,5699,1094,3695,5699,1094
1952:Q1,2384,2384,0,0,0,0,76,76,272,0,272,0,976,0,592,124,260,0,0,0,0,0,556,556,0,0,1203,6508,960,1203,6508,960
1952:Q2,220,220,0,0,0,0,72,72,272,0,272,0,1044,0,632,120,292,0,0,0,0,0,24,24,0,0,2987,6756,1260,2987,6756,1260
1952:Q3,-16,-16,0,0,0,0,76,76,284,0,284,0,1040,0,620,120,300,0,0,0,0,0,24,24,0,0,2816,5616,661,2816,5616,661
1952:Q4,-620,-620,0,0,0,0,80,80,348,0,348,0,956,0,556,120,280,0,0,0,0,0,36,36,0,0,2560,7364,1277,2560,7364,1277
1953:Q1,-2496,-2496,0,0,0,0,88,88,368,0,368,0,896,0,508,128,260,0,0,0,0,0,28,28,0,0,2986,7044,1003,2986,7044,1003
1953:Q2,-400,-400,0,0,0,0,92,92,400,0,400,0,860,0,472,132,256,0,0,0,0,0,32,32,0,0,3150,7120,647,3150,7120,647
1953:Q3,-1340,-1340,0,0,0,0,96,96,404,0,404,0,808,0,428,124,256,0,0,0,0,0,28,28,0,0,3403,6900,740,3403,6900,740
1953:Q4,-392,-392,0,0,0,0,92,92,392,0,392,0,736,0,372,108,256,0,0,0,0,0,36,36,0,0,3683,7368,1336,3683,7368,1336
1954:Q1,-260,-260,0,0,0,0,84,84,372,0,372,0,640,0,288,92,260,0,0,0,0,0,32,32,0,0,2747,7276,760,2747,7276,760
1954:Q2,-152,-152,0,0,0,0,76,76,360,0,360,0,524,0,196,64,264,0,0,0,0,0,24,24,0,0,2439,7332,724,2439,7332,724
1954:Q3,-468,-468,0,0,0,0,84,84,364,0,364,0,512,0,184,72,256,0,0,0,0,0,32,32,0,0,2015,7016,1204,2015,7016,1204
1954:Q4,-388,-388,0,0,0,0,104,104,400,0,400,0,600,0,240,108,252,0,0,0,0,0,44,44,0,0,1543,7392,1244,1543,7392,1244
1955:Q1,24,24,0,0,0,0,120,120,428,0,428,0,676,0,296,136,244,0,0,0,0,0,52,52,0,0,1795,7548,1419,1795,7548,1419
1955:Q2,-164,-164,0,0,0,0,136,136,464,0,464,0,728,0,340,144,244,0,0,0,0,0,88,88,0,0,1723,7456,1503,1723,7456,1503
1955:Q3,24,24,0,0,0,0,148,148,468,0,468,0,752,0,336,176,240,0,0,0,0,0,84,84,0,0,1836,6340,1324,1836,6340,1324
1955:Q4,24,24,0,0,0,0,160,160,440,0,440,0,740,0,268,232,240,0,0,0,0,0,60,60,0,0,2028,7664,1292,2028,7664,1292
1956:Q1,104,104,0,0,0,0,172,172,436,0,436,0,724,0,224,304,196,0,0,0,0,0,64,64,0,0,2325,7992,928,2325,7992,928
1956:Q2,332,332,0,0,0,0,192,192,416,0,416,0,700,0,160,360,180,0,0,0,0,0,24,24,0,0,2269,8100,1828,2269,8100,1828
1956:Q3,340,340,0,0,0,0,196,196,408,0,408,0,736,0,164,388,184,0,0,0,0,0,28,28,0,0,2065,5812,1920,2065,5812,1920
1956:Q4,260,260,0,0,0,0,188,188,440,0,440,0,836,0,228,400,208,0,0,0,0,0,60,60,0,0,1865,8488,2040,1865,8488,2040
1957:Q1,1428,1428,0,0,0,0,180,180,464,0,464,0,944,0,220,504,220,0,0,0,0,0,36,36,0,0,3014,8804,1552,3014,8804,1552
1957:Q2,1268,1268,0,0,0,0,184,184,488,0,488,0,1064,0,240,588,236,0,0,0,0,0,88,88,0,0,3694,9028,1592,3694,9028,1592
1957:Q3,48,48,0,0,0,0,176,176,480,0,480,0,1076,0,228,616,232,0,0,0,0,0,12,12,0,0,4442,8852,1396,4442,8852,1396
1957:Q4,584,584,0,0,0,0,156,156,444,0,444,0,984,0,196,596,192,0,0,0,0,0,20,20,0,0,5090,9356,1752,5090,9356,1752
1958:Q1,-1548,-1548,0,0,0,0,136,136,412,0,412,0,888,0,152,544,192,0,0,0,0,0,60,60,0,0,2956,8824,1301,2956,8824,1301
1958:Q2,-4152,-4152,0,0,0,0,104,104,376,0,376,0,792,0,96,544,152,0,0,0,0,0,84,84,0,0,2392,9224,2333,2392,9224,2333
1958:Q3,-1928,-1928,0,0,0,0,112,112,372,0,372,0,808,0,108,548,152,0,0,0,0,0,104,104,0,0,1744,8632,1869,1744,8632,1869
1958:Q4,-1360,-1360,0,0,0,0,152,152,388,0,388,0,936,0,192,564,180,0,0,0,0,0,116,116,0,0,1024,9320,1821,1024,9320,1821
1959:Q1,-368,-368,0,0,0,0,192,192,416,0,416,0,1068,0,268,568,232,0,0,0,0,0,60,60,0,0,2766,9260,1872,2766,9260,1872
1959:Q2,-2948,-2948,0,0,0,0,228,228,416,0,416,0,1204,0,356,576,272,0,0,0,0,0,104,104,0,0,2366,9472,2308,2366,9472,2308
1959:Q3,-856,-856,0,0,0,0,236,236,440,0,440,0,1212,0,360,580,272,0,0,0,0,0,40,40,0,0,3102,9440,1592,3102,9440,1592
1959:Q4,-140,-140,0,0,0,0,216,216,468,0,468,0,1092,0,268,580,244,0,0,0,0,0,108,108,0,0,2714,9684,2068,2714,9684,2068
1960:Q1,-192,-192,0,0,0,0,204,204,528,0,528,0,996,0,200,604,192,0,0,0,0,0,8,8,0,0,1762,9740,1645,1762,9740,1645
1960:Q2,-344,-344,0,0,0,0,200,200,580,0,580,0,924,0,140,620,164,0,0,0,0,0,92,92,0,0,1406,9968,2101,1406,9968,2101
1960:Q3,-2548,-2548,0,0,0,0,192,192,596,0,596,0,884,0,116,608,160,0,0,0,0,0,4,4,0,0,930,9876,2545,930,9876,2545
1960:Q4,-3672,-3672,0,0,0,0,172,172,576,0,576,0,880,0,136,556,188,0,0,0,0,0,160,160,0,0,-258,10052,2005,-258,10052,2005
1961:Q1,-1516,-1516,0,0,0,0,152,152,616,0,616,0,860,0,144,500,216,0,0,0,0,0,176,176,0,0,330,10216,1693,330,10216,1693
1961:Q2,648,648,0,0,0,0,124,124,608,0,608,0,840,0,156,440,244,0,0,0,0,0,68,68,0,0,-926,10236,2225,-926,10236,2225
1961:Q3,-696,-696,0,0,0,0,120,120,624,0,624,0,812,0,140,440,232,0,0,0,0,0,92,92,0,0,-1082,10596,2445,-1082,10596,2445
1961:Q4,-1948,-1948,0,0,0,0,136,136,640,0,640,0,784,0,104,492,188,0,0,0,0,0,172,172,0,0,-2154,10776,2937,-2154,10776,2937
1962:Q1,-1124,-1124,0,0,0,0,148,148,684,0,684,0,720,0,32,536,152,0,0,0,0,0,36,36,0,0,-1622,10892,1837,-1622,10892,1837
1962:Q2,-692,-692,0,0,0,0,152,152,744,0,744,0,628,0,-56,592,92,0,0,0,0,0,-252,-252,0,0,-3394,10948,2885,-3394,10948,2885
1962:Q3,-1472,-1472,0,0,0,0,156,156,712,0,712,0,660,0,-28,584,104,0,0,0,0,0,120,120,0,0,-2306,11380,2993,-2306,11380,2993
1962:Q4,-356,-356,0,0,0,0,164,164,580,0,580,0,808,0,124,504,180,0,0,0,0,0,208,208,0,0,-3822,11412,3601,-3822,11412,3601
1963:Q1,-400,-400,0,0,0,0,176,176,440,0,440,0,1016,0,284,436,296,0,0,0,0,0,140,140,0,0,-1348,11508,3243,-1348,11508,3243
1963:Q2,-580,-580,0,0,0,0,188,188,296,0,296,0,1268,0,448,420,400,0,0,0,0,0,124,124,0,0,-1976,11484,2519,-1976,11484,2519
1963:Q3,-604,-604,0,0,0,0,192,192,276,0,276,0,1200,0,460,344,396,0,0,0,0,0,120,120,0,0,-1579,11860,3244,-1579,11860,3244
1963:Q4,-276,-276,0,0,0,0,188,188,376,0,376,0,812,0,324,220,268,0,0,0,0,0,124,124,0,0,-1579,12000,3408,-1579,12000,3408
1964:Q1,-208,-208,0,0,0,0,180,180,444,0,444,0,1180,0,468,336,376,0,0,0,0,0,180,180,0,0,-1579,11988,2436,-1579,11988,2436
1964:Q2,0,0,0,0,0,0,172,172,476,0,476,0,1196,0,484,312,400,0,0,0,0,0,152,152,0,0,-1471,12444,2484,-1471,12444,2484
1964:Q3,8,8,0,0,0,0,180,180,528,0,528,0,1284,0,552,316,416,0,0,0,0,0,144,144,0,0,-466,12452,3485,-466,12452,3485
1964:Q4,-300,-300,0,0,0,0,212,212,592,0,592,0,1444,0,684,352,408,0,0,0,0,0,140,140,0,0,-1442,12820,4001,-1442,12820,4001
1965:Q1,-3300,-3300,0,0,0,0,232,232,664,0,664,0,1448,0,708,348,392,0,0,0,0,0,128,128,0,0,182,12996,2443,182,12996,2443
1965:Q2,-2516,-2516,0,0,0,0,252,252,740,0,740,0,1520,0,724,412,384,0,0,0,0,0,24,24,0,0,842,13092,3191,842,13092,3191
1965:Q3,-304,-304,0,0,0,0,272,272,780,0,780,0,1580,0,728,456,396,0,0,0,0,0,280,280,0,0,1859,13372,4200,1859,13372,4200
1965:Q4,-500,-500,0,0,0,0,300,300,784,0,784,0,1636,0,716,484,436,0,0,0,0,0,184,184,0,0,1359,14016,4268,1359,14016,4268
1966:Q1,-396,-396,0,0,0,0,328,328,800,0,800,0,1696,0,708,524,464,0,0,0,0,0,92,92,0,0,1197,14220,2603,1197,14220,2603
1966:Q2,-804,-804,0,0,0,0,360,360,824,0,824,0,1760,0,696,568,496,0,0,0,0,0,-12,-12,0,0,4017,14392,3679,4017,14392,3679
1966:Q3,-700,-700,0,0,0,0,372,372,844,0,844,0,1816,0,700,596,520,0,0,0,0,0,-136,-136,0,0,4445,14892,2559,4445,14892,2559
1966:Q4,-396,-396,0,0,0,0,364,364,856,0,856,0,1868,0,732,616,520,0,0,0,0,0,240,240,0,0,3565,15372,3995,3565,15372,3995
1967:Q1,-208,-208,0,0,0,0,308,308,916,0,916,0,1988,0,776,648,564,0,0,0,0,0,416,416,0,0,4045,15832,4639,4045,15832,4639
1967:Q2,12,12,0,0,0,0,284,284,860,0,860,0,2072,0,800,688,584,0,0,0,0,0,108,108,0,0,5204,15836,4166,5204,15836,4166
1967:Q3,-416,-416,0,0,0,0,276,276,864,0,864,0,2148,0,828,708,612,0,0,0,0,0,284,284,0,0,4223,16288,4357,4223,16288,4357
1967:Q4,-4096,-4096,0,0,0,0,284,284,896,0,896,0,2096,0,808,680,608,0,0,0,0,0,76,76,0,0,5477,15812,3723,5477,15812,3723
1968:Q1,-5992,-5992,0,0,0,0,336,336,960,0,960,0,2288,0,872,756,660,0,0,0,0,0,-108,-108,0,0,5549,16412,5509,5549,16412,5509
1968:Q2,-468,-468,0,0,0,0,360,360,976,0,976,0,2324,0,896,744,684,0,0,0,0,0,492,492,0,0,7301,16424,4989,7301,16424,4989
1968:Q3,0,0,0,0,0,0,368,368,1000,0,1000,0,2484,0,936,800,748,0,0,0,0,0,220,220,0,0,6851,17588,5483,6851,17588,5483
1968:Q4,0,0,0,0,0,0,356,356,1020,0,1020,0,2768,0,1012,924,832,0,0,0,0,0,200,200,0,0,6715,17820,4747,6715,17820,4747
1969:Q1,0,0,0,0,0,0,352,352,1028,0,1028,0,3368,0,1392,1048,928,0,0,0,0,0,-16,-16,0,0,10223,18008,6557,10223,18008,6557
1969:Q2,0,0,0,0,0,0,352,352,1048,0,1048,0,3332,0,1120,1180,1032,0,0,0,0,0,28,28,0,0,12518,18740,5613,12518,18740,5613
1969:Q3,0,0,0,0,0,0,360,360,1084,0,1084,0,2772,0,468,1236,1068,0,0,0,0,0,-8,-8,0,0,11744,19020,5003,11744,19020,5003
1969:Q4,0,0,0,0,0,0,480,480,1148,0,1148,0,3908,0,1652,1216,1040,0,0,0,0,0,152,152,0,0,12207,20004,7091,12207,20004,7091
1970:Q1,4000,4000,1600,1600,0,0,416,416,1224,0,1224,0,3388,0,1340,968,1080,0,0,0,0,0,40,40,0,0,11172,21012,7042,11172,21012,7042
1970:Q2,0,0,0,0,0,0,428,428,1308,0,1308,0,3404,0,1452,844,1108,0,0,0,0,0,-640,-640,0,0,12043,23312,6341,12043,23312,6341
1970:Q3,-1000,-1000,0,0,0,0,436,436,1328,0,1328,0,3424,0,1468,860,1096,0,0,0,0,0,680,680,0,0,8052,23584,7062,8052,23584,7062
1970:Q4,-1540,-1540,0,0,0,0,440,440,1280,0,1280,0,3456,0,1400,1016,1040,0,0,0,0,0,512,512,0,0,6705,24364,7271,6705,24364,7271
1971:Q1,0,0,0,0,0,0,352,352,1332,0,1332,0,3444,0,1292,980,1172,0,0,0,0,0,584,584,0,0,9782,23796,8126,9782,23796,8126
1971:Q2,-1600,-1600,0,0,0,0,304,304,1276,0,1276,0,3344,0,1204,936,1204,0,0,0,0,0,100,100,0,0,8858,26376,8826,8858,26376,8826
1971:Q3,-800,-800,0,0,0,0,296,296,1276,0,1276,0,3520,0,1204,1052,1264,0,0,0,0,0,272,272,0,0,6297,25560,9689,6297,25560,9689
1971:Q4,0,0,0,0,0,0,320,320,1312,0,1312,0,3972,0,1276,1336,1360,0,0,0,0,0,408,408,0,0,2593,26784,10725,2593,26784,10725
1972:Q1,-2176,-2176,0,0,0,0,480,480,1424,0,1424,0,4416,0,1320,1644,1452,0,0,0,0,0,604,604,0,0,1565,26024,11176,1565,26024,11176
1972:Q2,0,0,0,0,0,0,580,580,1484,0,1484,0,4864,0,1328,1968,1568,0,0,0,0,0,304,304,0,0,-3748,31032,10668,-3748,31032,10668
1972:Q3,0,0,0,0,0,0,592,592,1528,0,1528,0,5040,0,1404,2048,1588,0,0,0,0,0,444,444,0,0,-5356,25192,10092,-5356,25192,10092
1972:Q4,0,0,0,0,0,0,508,508,1568,0,1568,0,4956,0,1556,1884,1516,0,0,0,0,0,740,740,0,0,1219,26156,9448,1219,26156,9448
1973:Q1,0,0,0,0,0,0,444,444,1612,0,1612,0,4780,0,1384,1928,1468,0,0,0,0,0,-108,-108,0,0,1713,27540,9592,1713,27540,9592
1973:Q2,0,0,0,0,0,0,392,392,1668,0,1668,0,4748,0,1388,1972,1388,0,0,0,0,0,-244,-244,0,0,7140,32204,11012,7140,32204,11012
1973:Q3,0,0,0,0,0,0,372,372,1692,0,1692,0,4760,0,1368,2016,1376,0,0,0,0,0,768,768,0,0,5206,27480,12519,5206,27480,12519
1973:Q4,0,0,0,0,0,0,392,392,1704,0,1704,0,4812,0,1328,2056,1428,0,0,0,0,0,-516,-516,0,0,8426,28680,14107,8426,28680,14107
1974:Q1,0,0,0,0,0,0,616,616,1656,0,1656,0,4876,0,1276,2108,1492,0,0,0,0,0,376,376,0,0,9980,29364,14668,9980,29364,14668
1974:Q2,0,0,0,0,0,0,740,740,1620,0,1620,0,4964,0,1248,2164,1552,0,0,0,0,0,-292,-292,0,0,11177,29240,13408,11177,29240,13408
1974:Q3,0,0,0,0,0,0,772,772,1660,0,1660,0,4936,0,1216,2200,1520,0,0,0,0,0,-1036,-1036,0,0,5840,26712,14599,5840,26712,14599
1974:Q4,340,340,0,0,0,0,712,712,1744,0,1744,0,4800,0,1192,2220,1388,0,0,0,0,0,844,844,0,0,4183,30804,15095,4183,30804,15095
1975:Q1,-128,-128,0,0,0,0,688,688,1852,0,1852,0,5544,0,1596,2204,1744,0,0,0,0,0,1460,1460,0,0,-5933,30012,15295,-5933,30012,15295
1975:Q2,0,0,400,400,0,0,692,692,1980,0,1980,0,5528,0,1476,2240,1812,0,0,0,0,0,1604,1604,0,0,-8971,26032,14687,-8971,26032,14687
1975:Q3,-84,-84,0,0,0,0,660,660,1976,0,1976,0,6200,0,2020,2296,1884,0,0,0,0,0,-20,-20,0,0,-13043,23920,17748,-13043,23920,17748
1975:Q4,0,0,0,0,0,0,592,592,1832,0,1832,0,7564,0,3144,2416,2004,0,0,0,0,0,936,936,0,0,-8551,33004,14808,-8551,33004,14808
1976:Q1,0,0,0,0,0,0,632,632,2228,0,2228,0,8968,0,3092,3108,2768,0,0,0,0,0,1200,1200,0,0,1493,32668,16606,1493,32668,16606
1976:Q2,-4,-4,0,0,0,0,572,572,2304,0,2304,0,10412,0,3636,3484,3292,0,0,0,0,0,76,76,0,0,11585,23492,9574,11585,23492,9574
1976:Q3,0,0,1200,1200,0,0,604,604,2312,0,2312,0,11012,0,3860,3668,3484,0,0,0,0,0,192,192,0,0,13879,22812,16536,13879,22812,16536
1976:Q4,0,0,1600,1600,0,0,716,716,2284,0,2284,0,10768,0,3760,3652,3356,0,0,0,0,0,392,392,0,0,12227,36664,20432,12227,36664,20432
1977:Q1,152,152,0,0,0,0,828,828,2912,0,2912,0,11780,0,4016,4144,3620,0,0,0,0,0,40,40,0,0,3078,35448,21513,3078,35448,21513
1977:Q2,-64,-64,0,0,0,0,944,944,3268,0,3268,0,12460,0,4284,4376,3800,0,0,0,0,0,576,576,0,0,970,43740,13261,970,43740,13261
1977:Q3,-100,-100,0,0,0,0,968,968,3348,0,3348,0,12932,0,4324,4636,3972,0,0,0,0,0,256,256,0,0,1531,-3160,15226,1531,-3160,15226
1977:Q4,492,492,200,200,0,0,896,896,3156,0,3156,0,13200,0,4140,4936,4124,0,0,0,0,0,444,444,0,0,2083,41276,13618,2083,41276,13618
1978:Q1,0,0,0,0,0,0,1000,1000,3204,0,3204,0,13560,0,3932,5364,4264,0,0,0,0,0,368,368,0,0,-715,40220,15636,-715,40220,15636
1978:Q2,0,0,0,0,0,0,1024,1024,3212,0,3212,0,14028,0,3716,5792,4520,0,0,0,0,0,1176,1176,0,0,-1405,46296,11288,-1405,46296,11288
1978:Q3,0,0,200,200,0,0,1076,1076,3168,0,3168,0,14296,0,3792,5928,4576,0,0,0,0,0,1476,1476,0,0,-646,6744,15432,-646,6744,15432
1978:Q4,260,260,0,0,0,0,1160,1160,3044,0,3044,0,14364,0,4164,5772,4428,0,0,0,0,0,224,224,0,0,-413,46940,12312,-413,46940,12312
1979:Q1,0,0,0,0,0,0,1264,1264,3080,0,3080,0,14476,0,4444,5748,4284,0,0,0,0,0,1204,1204,0,0,-6296,42380,24586,-6296,42380,24586
1979:Q2,0,0,2000,2000,0,0,1380,1380,3044,0,3044,0,14632,0,4636,5832,4164,0,0,0,0,0,804,804,0,0,-10632,43056,15198,-10632,43056,15198
1979:Q3,-380,-380,0,0,0,0,1400,1400,2920,0,2920,0,14812,0,4892,5700,4220,0,0,0,0,0,1292,1292,0,0,-13293,11876,23871,-13293,11876,23871
1979:Q4,-224,-224,0,0,0,0,1328,1328,2704,0,2704,0,15020,0,5220,5368,4432,0,0,0,0,0,404,404,0,0,-12477,45080,22287,-12477,45080,22287
1980:Q1,0,0,4672,4672,0,0,1244,1244,2176,0,2176,0,15320,0,6308,5212,3800,0,0,0,0,0,176,176,0,0,19161,30264,11772,19161,30264,11772
1980:Q2,0,0,200,200,0,0,1140,1140,1860,0,1860,0,13352,0,4696,4912,3744,0,0,0,0,0,2084,2084,0,0,28491,33828,5917,28491,33828,5917
1980:Q3,-16,-16,1000,1000,0,0,1196,1196,1828,0,1828,0,12884,0,4612,4636,3636,0,0,0,0,0,1920,1920,0,0,44006,40784,20089,44006,40784,20089
1980:Q4,-32,-32,-3000,-3000,0,0,1408,1408,2068,0,2068,0,12624,0,4756,4368,3500,0,0,0,0,0,1300,1300,0,0,68929,36052,20848,68929,36052,20848
1981:Q1,-24,-24,1200,1200,0,0,1676,1676,3072,0,3072,0,12348,0,4936,4208,3204,0,0,0,0,0,524,524,0,0,33179,33468,23533,33179,33468,23533
1981:Q2,0,0,1000,1000,0,0,2004,2004,3216,0,3216,0,11940,0,5020,3964,2956,0,0,0,0,0,224,224,0,0,20306,35896,9877,20306,35896,9877
1981:Q3,-8,-8,1000,1000,0,0,1944,1944,3284,0,3284,0,11172,0,4556,3680,2936,0,0,0,0,0,-612,-612,0,0,13776,36136,16884,13776,36136,16884
1981:Q4,-4,-4,0,0,0,0,1508,1508,3248,0,3248,0,10712,0,4208,3364,3140,0,0,0,0,0,1412,1412,0,0,3738,36896,18828,3738,36896,18828
1982:Q1,-4,-4,1000,1000,0,0,1116,1116,3636,0,3636,0,8764,0,2164,3088,3512,0,0,0,0,0,1048,1048,0,0,11709,32300,17450,11709,32300,17450
1982:Q2,-4,-4,1000,1000,0,0,772,772,3552,0,3552,0,8616,0,1716,2460,4440,0,0,0,0,0,1276,1276,0,0,-2385,36344,20770,-2385,36344,20770
1982:Q3,-4,-4,1600,1600,0,0,620,620,3672,0,3672,0,8708,0,2528,2504,3676,0,0,0,0,0,3504,3504,0,0,-11334,37220,29207,-11334,37220,29207
1982:Q4,0,0,1600,1600,0,0,664,664,3996,0,3996,0,17240,0,12812,3220,1208,0,0,0,0,0,1844,1844,0,0,-37544,38184,20287,-37544,38184,20287
1983:Q1,-40,-40,0,0,0,0,600,600,3652,0,3652,0,9880,0,8744,3192,-2056,0,0,0,0,0,3436,3436,0,0,21766,32620,16153,21766,32620,16153
1983:Q2,-28,-28,0,0,0,0,580,580,3984,0,3984,0,8504,0,11076,3248,-5820,0,0,0,0,0,4032,4032,0,0,28722,37604,23457,28722,37604,23457
1983:Q3,-12,-12,0,0,0,0,560,560,4092,0,4092,0,12456,0,14372,3576,-5492,0,0,0,0,0,520,520,0,0,47349,34728,41133,47349,34728,41133
1983:Q4,-28,-28,0,0,0,0,596,596,3988,0,3988,0,18040,0,15004,4156,-1120,0,0,0,0,0,572,572,0,0,76685,41156,23909,76685,41156,23909
1984:Q1,-40,-40,0,0,0,0,-600,-600,4176,0,4176,0,14104,0,-24648,4444,34308,0,0,0,0,0,-1528,-1528,0,0,63842,35772,19667,63842,35772,19667
1984:Q2,-44,-44,0,0,0,0,-1396,-1396,3948,0,3948,0,14412,0,6452,5304,2656,0,0,0,0,0,-1480,-1480,0,0,87777,41608,10406,87777,41608,10406
1984:Q3,-12,-12,0,0,0,0,-1380,-1380,3872,0,3872,0,14316,0,5804,5508,3004,0,0,0,0,0,3720,3720,0,0,-60047,41000,10851,-60047,41000,10851
1984:Q4,-4,-4,0,0,0,0,-588,-588,4100,0,4100,0,16432,0,6880,5292,4260,0,0,0,0,0,2896,2896,0,0,-69410,44664,19154,-69410,44664,19154
1985:Q1,-12,-12,0,0,0,0,-148,-148,3624,0,3624,0,17456,0,4540,4908,8008,0,0,0,0,0,3392,3392,0,0,202,-14784,34178,202,-14784,34178
1985:Q2,-8,-8,0,0,0,0,436,436,3940,0,3940,0,36328,0,23032,5844,7452,0,0,0,0,0,3828,3828,0,0,-31869,33552,-2546,-31869,33552,-2546
1985:Q3,-4,-4,0,0,0,0,396,396,3972,0,3972,0,49860,0,37724,4356,7780,0,0,0,0,0,-692,-692,0,0,39593,29136,17618,39593,29136,17618
1985:Q4,0,0,400,400,0,0,-280,-280,3700,0,3700,0,44504,0,43668,1936,-1100,0,0,0,0,0,16648,16648,0,0,-86772,34412,3562,-86772,34412,3562
