1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,214473,67854,63748,31932,240,32028,6635,11831,205,217418,135289,38092,12920,27053,4064,-2945,28385,240,-3781,28981,35536,54178,2113,-20755,4976,-692,-14396,1872,-860,0,7684,320,0,-392,740,-28,0,6036,1344,0,4692,0,56,0,2784,2160,12,25731,0,432,-208,3724,948,-2136,4912,1700,-60,1760,104,2624,17355,-6555,4208,24963
1966:Q4,218636,70565,64904,31196,240,32304,6965,12149,313,224678,137392,41480,13816,27750,4240,-6042,28904,220,-3698,26340,16518,56230,1659,-41371,2616,-484,-3250,668,388,0,-3266,1696,0,-604,2248,52,0,2584,1428,0,1156,0,-440,0,2704,1716,300,43987,0,924,-116,17520,13208,-892,5204,3676,-68,3744,96,3328,18559,9822,2380,43751
1967:Q1,221022,71175,65564,30388,236,33744,7115,12537,263,235698,144699,44396,14492,28119,3992,-14676,29368,328,-3899,18263,22362,57889,1412,-36939,5048,-204,-1322,6236,-1628,0,-5154,612,0,72,508,32,0,6412,784,0,5628,0,132,0,1460,-1516,20,41987,0,748,-144,19532,8292,5496,5744,-528,-52,-476,96,1236,21047,-4099,4904,41843
1967:Q2,223591,70942,66832,30096,240,34688,7310,13114,369,240108,147248,45504,15092,28392,3872,-16517,29878,476,-3787,16672,25165,56562,841,-32238,-12352,-60,1532,3624,544,0,768,-356,0,-448,80,12,0,3400,500,0,2900,0,68,0,2844,-24880,164,19886,0,432,-64,-7048,-22656,7424,8184,1352,-60,1412,96,3348,21770,-8493,-12116,20122
1967:Q3,229766,73833,68746,30364,248,35348,7656,13176,395,245137,150458,47156,14572,29267,3684,-15371,30507,160,-4079,19055,24120,57921,2344,-36145,20208,-368,5388,600,-144,0,4760,-764,0,120,-848,-36,0,5876,1360,0,4516,0,320,0,2056,2604,-120,56353,0,592,-156,31540,23656,-84,7968,2444,-68,2512,80,1720,20133,-5065,19700,55845
1967:Q4,237514,75894,70606,32128,268,36136,8097,14301,84,253019,154993,48172,15576,30582,3696,-15505,31164,64,-3807,19402,6370,58302,3,-51935,3932,-4048,-730,-552,776,0,-522,296,0,-1164,1468,-8,0,3044,1520,0,1524,0,164,0,1824,3744,-64,55867,0,96,-76,36244,25752,3784,6708,2812,-72,2884,48,3052,13691,13032,5068,57003
1968:Q1,248611,78564,73367,36200,284,37720,8656,13361,459,262099,161395,50424,14900,31344,4036,-13488,31900,-116,-3588,22116,16776,58355,-622,-40957,11420,-5448,-10418,2248,-304,0,3238,2452,0,-1688,4300,-160,0,6388,1768,0,4620,0,160,0,588,12440,76,52377,0,684,0,31372,23556,1068,6748,2116,-72,2188,8,656,17541,5340,13040,53997
1968:Q2,257039,81665,75424,36808,304,38560,8884,14906,488,271392,164107,53704,16916,32461,4204,-14353,32437,128,-3920,21876,27628,59530,567,-32469,2056,-88,1346,1376,2128,0,-3210,4340,0,-68,4172,236,0,4904,1588,0,3316,0,216,0,1860,-10788,-28,34525,0,-364,0,8856,-3196,4664,7388,3172,-72,3244,-32,1244,21649,-5752,1508,33977
1968:Q3,269850,91861,77693,36848,332,39220,9259,14140,497,276708,167823,55096,16248,33321,4220,-6858,32975,40,-4073,30150,36839,59546,508,-23215,32764,296,10756,5288,92,0,5624,4468,0,844,3604,20,0,5740,1668,0,4072,0,-584,0,1696,-356,-256,55979,0,132,0,28768,16488,4716,7564,1296,-56,1352,-32,2092,23723,-6689,31728,54943
1968:Q4,277257,95858,79144,37748,356,39856,9247,14681,367,283758,171796,56228,17472,34026,4236,-6501,33707,-64,-4323,31593,15644,59552,1547,-45455,-4460,548,-13398,4364,1304,0,-9418,3820,0,1648,2084,88,0,4208,1520,0,2688,0,-480,0,1944,2780,-132,40995,0,216,0,12536,-1728,2192,12072,2324,-64,2388,0,3428,22491,15949,-6656,38799
1969:Q1,289474,102602,80589,38424,380,43100,9448,14759,172,284452,172180,57740,15876,34316,4340,5022,34399,104,-4478,43795,32788,61525,1132,-29869,16436,-224,-3580,-3360,-796,0,4592,5120,0,2024,3000,96,0,4728,1176,0,3552,0,88,0,2036,8004,-172,46305,0,124,0,18368,2388,488,15492,2164,-76,2240,44,612,24993,11007,13768,43637
1969:Q2,295820,105660,82901,37176,392,43904,9960,15669,158,294404,177150,58756,18408,35626,4464,1416,35163,-428,-4724,41731,47792,59709,1168,-13085,-6908,1268,3492,-5476,1308,0,5348,1412,0,2096,-912,228,0,4364,1336,0,3028,0,220,0,2736,-21492,-88,6177,0,-360,0,-20060,-31884,-1056,12880,1372,-100,1472,80,1896,23249,-6061,-9532,3553
1969:Q3,297687,104139,85217,35760,404,44844,10410,16789,124,302793,182606,60124,18248,37147,4668,-5106,35755,700,-4473,34422,36124,59929,1050,-24855,22256,44,5452,-11128,1156,0,15116,2716,0,3180,-476,12,0,4904,1312,0,3592,0,200,0,2532,1316,-52,47111,0,100,0,18880,14400,-6016,10496,2312,-48,2360,88,1400,24331,-1702,18800,43655
1969:Q4,302397,105623,86717,35260,400,45512,10885,17803,197,311831,185815,61612,20292,39448,4664,-9434,36537,-676,-4509,32288,16559,57024,990,-41455,7796,2780,8364,-4224,2124,0,-11208,3552,0,5024,-1396,-76,0,5576,1884,0,3692,0,228,0,1328,-596,-128,49251,0,348,0,15328,11284,-2632,6676,3620,-100,3720,52,3876,26027,15729,976,42431
1970:Q1,300553,104573,88466,30708,384,46216,11424,19299,-517,319837,188877,63616,20828,41780,4736,-19284,37352,524,-4664,22208,29054,59011,861,-30818,23868,3856,15986,5180,928,0,-4018,1964,0,3824,-1748,-112,0,5316,2052,0,3264,0,264,0,-740,-4864,-4,54686,3468,208,0,14956,8188,-1808,8576,1124,-68,1192,276,1428,33226,-6846,20320,51138
1970:Q2,304997,105512,90535,30760,380,46488,11836,20614,-1128,335415,190308,73848,22792,43647,4820,-30418,38183,-236,-4652,12653,11873,58836,710,-47673,6328,92,1922,12636,-724,0,-9682,256,0,1612,-1700,344,0,3248,956,0,2292,0,200,0,-4,-1624,8,54001,0,344,0,22492,11076,-1944,13360,980,-96,1076,48,-4,30141,780,4876,52549
1970:Q3,305001,100657,92512,31736,368,46948,12041,21848,-1109,343186,194343,74256,24264,45583,4740,-38185,38968,336,-4564,5011,596,60241,1013,-60658,7516,-1444,-5872,14224,-1856,0,4224,-3900,0,-1992,-1916,8,0,3808,856,0,2952,0,192,0,20,-1764,-116,68174,0,352,0,31788,23332,-396,8852,3580,-104,3684,44,1764,30646,4415,8724,69382
1970:Q4,306207,101538,94139,30244,364,46720,12129,22455,-1382,351814,197611,78112,24756,46523,4812,-45607,39814,-412,-4656,-725,-14655,61096,732,-76483,-12432,-2248,-1786,8988,216,0,-10894,-7712,0,-3712,-4352,352,0,2864,1012,0,1852,0,276,0,104,-2192,-48,64051,0,300,0,26596,9136,316,17144,4500,-32,4532,56,1408,31191,13930,-9272,67211
1971:Q1,314877,98331,97652,33960,356,50764,12248,23338,-1772,362240,203856,80108,26208,47304,4764,-47363,40542,36,-4778,-2079,1950,58049,-845,-55254,8752,1932,718,10324,-1260,0,-2370,-8376,0,-3720,-4572,-84,0,5740,868,0,4872,0,140,0,-1460,3408,-44,64006,2868,484,0,17260,2968,-2828,17120,7816,-56,7872,68,2320,33190,-4029,12184,67438
1971:Q2,322345,100714,98947,34896,364,51376,12372,24922,-1246,376123,207792,87760,27912,47847,4812,-53778,41118,-468,-4903,-7289,-9506,58326,1794,-69626,25068,-2608,11176,3840,-1412,0,7408,-3564,0,-480,-2956,-128,0,4120,464,0,3656,0,196,0,-2888,8604,196,94694,0,600,0,56932,40880,-940,16992,1148,-84,1232,72,812,35130,2217,25948,95574
1971:Q3,326323,102307,101674,34124,364,51648,12482,25288,-1564,379789,210611,87692,27916,49058,4512,-53466,41538,-156,-5310,-6462,-10444,59172,1921,-71537,12484,-1800,2044,5532,-3412,0,7452,-956,0,-168,-604,-184,0,3368,1032,0,2336,0,396,0,-52,-368,280,84021,0,508,0,41220,28956,-1764,14028,6624,-72,6696,76,2080,33513,3982,11840,83377
1971:Q4,334264,105468,103699,34552,384,52228,12729,26684,-1480,388378,213580,89332,30580,50274,4612,-54114,41965,-316,-7577,-4256,-17604,58487,1886,-77977,6836,8,4000,9168,-40,0,-11040,1860,0,2956,-484,-612,0,2312,432,0,1880,0,256,0,1300,-920,-68,84813,0,320,0,39580,22128,1332,16120,6012,-76,6088,68,-128,38961,13348,4128,82105
1972:Q1,358901,119785,104560,36752,396,58520,12539,27737,-1388,404289,222233,92348,32232,51373,6103,-45388,42528,-88,-7541,4769,10120,59995,1917,-51792,11988,664,-7786,3908,-424,0,3046,3096,0,2768,840,-512,0,4632,1684,0,2948,0,176,0,108,4468,100,63780,2840,1072,0,16288,-676,344,16620,7500,-100,7600,120,1372,34588,-5351,8664,60456
1972:Q2,374533,123370,106786,37052,408,59172,12653,36132,-1040,416570,225542,92808,39352,52665,6203,-42037,42996,-248,-5788,6995,8103,60922,1905,-54724,9448,-28,-5660,6896,-792,0,756,3944,0,1220,3844,-1120,0,2104,1432,0,672,0,276,0,852,1092,8,64172,0,684,0,19924,6012,-60,13972,532,-72,604,156,752,42124,-1108,10560,65284
1972:Q3,372971,124277,108862,38344,408,59864,12980,29133,-897,413664,225102,93752,33592,54043,7175,-40693,43943,300,-6131,9081,8808,59214,1286,-51692,22996,-12,-2828,5212,24,0,9040,5868,0,2264,2752,852,0,4620,704,0,3916,0,192,0,1332,-272,-180,74688,0,536,0,27556,13880,1848,11828,8828,-84,8912,168,3496,34104,273,19376,71068
1972:Q4,398082,127128,111504,42364,400,60756,13488,42862,-420,441720,229115,104184,45584,55774,7063,-43638,44603,-148,-6860,7973,-4504,62633,-1337,-65800,24300,0,15436,11436,-76,0,-13196,8348,0,2984,5780,-416,0,1588,-1044,0,2632,0,440,0,248,412,-336,90100,0,452,0,38444,24928,1464,12052,8800,-88,8888,164,5324,36916,12477,20712,86512
1973:Q1,412249,126399,114600,45324,388,74144,14622,38127,-1355,443784,233395,106560,39308,58577,5944,-31535,45326,-272,-7064,21127,34986,66176,-3550,-27640,48556,0,9676,10412,180,0,1972,8496,0,2112,5484,900,0,9784,468,0,9316,0,360,0,1576,6092,8,76196,0,428,0,28672,14204,1044,13424,7164,-88,7252,172,1696,38064,-13859,44876,72516
1973:Q2,417593,129181,116185,45428,384,75268,15650,37253,-1756,452611,237173,108732,40008,60994,5704,-35018,46367,-340,-5932,17621,12311,65536,551,-53776,10212,-36,-9960,4620,120,0,1396,8684,0,1860,6844,-20,0,-1408,-3148,0,1740,0,304,0,4376,2088,28,63988,0,444,0,15716,5400,-1668,11984,1228,-72,1300,188,2980,43432,5310,9340,63116
1973:Q3,423360,134089,118397,43444,368,76620,16602,36015,-2175,456292,239548,110400,38384,63243,4717,-32932,47820,16,-6124,20996,22462,64641,-3068,-39111,13152,0,-25972,10808,-124,0,6844,7824,0,1052,7136,-364,0,9732,5624,0,4108,0,412,0,2280,1268,80,52263,0,332,0,4160,-9644,1768,12036,7164,-64,7228,184,3748,36675,-1466,10800,49911
1973:Q4,435911,139959,119698,45592,372,78120,17613,37101,-2544,467317,246384,113452,37820,65106,4555,-31406,49262,-88,-6508,24452,24989,66208,140,-41359,37024,0,18380,2388,2376,0,-4780,7112,0,-348,7060,400,0,4124,1500,0,2624,0,416,0,4172,3064,-228,78383,0,408,0,23992,5728,576,17688,4496,-60,4556,156,5820,43511,-537,37192,78551
1974:Q1,444966,142792,120806,43700,360,83676,18873,37218,-2459,480212,253627,118496,37964,66569,3556,-35246,50506,-196,-6488,21944,19941,70959,-1942,-49076,15200,0,-3114,4036,1584,0,9078,6624,0,148,6548,-72,0,-4444,1516,0,-5960,0,388,0,1940,-652,-240,64276,0,388,0,12536,-6272,1428,17380,5476,-80,5556,132,1880,43864,2003,14892,63968
1974:Q2,460821,148902,124068,45928,364,85260,20011,38181,-1893,499629,258921,126696,42632,68488,2892,-38808,52398,-36,-6140,19766,9317,76036,-12079,-54640,17316,116,-2550,10212,-1404,0,-10822,5376,0,-1172,4932,1616,0,7980,5356,0,2624,0,568,0,3816,3920,104,71956,0,444,0,23576,9120,-116,14572,5048,-88,5136,108,3780,39000,10449,17644,72284
1974:Q3,478045,154911,127054,50776,368,86920,20873,39604,-2461,516919,268513,133704,40764,70766,3172,-38874,55061,-408,-5916,22511,28491,78197,2113,-51819,25828,492,-15088,1772,2308,0,13628,4456,0,1796,2312,348,0,8768,3180,0,5588,0,328,0,3872,5164,128,77647,0,580,0,29656,17780,-832,12708,3016,-124,3140,104,5524,38767,-5980,22116,73935
1974:Q4,476754,157587,127680,44572,376,87144,21265,41101,-2971,538515,279758,140616,42252,72281,3608,-61761,56975,-556,-5612,1382,-11325,79471,-3281,-87515,-1276,80,2266,6940,420,0,-18842,-208,0,1060,-1472,204,0,22980,10620,0,12360,0,864,0,-13788,-1780,-208,86239,0,732,0,28696,23324,-1000,6372,4244,-132,4376,116,-120,52571,12707,-4216,83299
1975:Q1,474653,157988,128821,37592,400,88220,21558,43768,-3694,563221,287098,151564,46356,73983,4220,-88568,58433,4268,-5644,-28759,-21851,83040,1188,-106079,16116,16,12496,-8768,912,0,8876,2908,0,1872,1132,-96,0,11312,3268,0,8044,0,608,0,-496,-11688,-60,122195,0,804,0,56564,49080,-1172,8656,17200,-16,17216,4576,-620,43671,-6908,13956,120035
1975:Q2,450835,121068,133011,40820,432,88612,21812,48965,-3885,594533,294241,166592,53408,76028,4264,-143698,59142,496,-6169,-78883,-71218,79167,1354,-151739,17940,64,-7008,3040,36,0,-3800,3728,0,-1028,5132,-376,0,18240,10276,0,7964,0,476,0,2852,372,-60,169679,0,936,0,113152,104604,-196,8744,7008,-168,7176,1516,5376,41691,-7665,19384,171123
1975:Q3,500529,152831,138199,51360,488,90348,21867,49708,-4272,601138,299868,169768,48532,78406,4564,-100609,60179,-716,-6421,-33293,-22402,85526,1692,-109620,39692,100,-1610,-1788,172,0,8210,8304,0,1796,3584,2924,0,15924,9224,0,6700,0,800,0,4264,5324,-8,149312,0,988,0,96280,91052,-36,5264,5328,-68,5396,156,6436,40124,-10891,34512,144132
1975:Q4,513399,158541,141137,52324,564,92408,22045,50803,-4423,615123,305691,172560,50748,81196,4928,-101724,61126,1644,-6366,-35876,-47780,89880,1808,-139468,25488,84,8978,0,544,0,-15938,8280,0,2400,-1200,7080,0,14640,9696,0,4944,0,732,0,3696,4632,-160,164956,0,1136,0,103896,82740,-8,21164,2560,-108,2668,2876,7116,47372,11904,16056,155524
1976:Q1,536229,162503,141674,59564,656,99576,22301,52377,-2422,624787,308389,177087,50484,83691,5136,-88558,62356,-496,-6510,-19196,-17178,92903,1001,-111082,53184,180,3314,584,1180,0,3250,16688,0,11308,732,4648,0,17520,2524,0,14996,0,620,0,-528,10540,-164,164266,0,740,0,88396,70608,224,17564,14368,-88,14456,-396,10160,50998,-2018,28192,139274
1976:Q2,547690,169337,144856,58584,720,101056,22368,53189,-2420,629708,312013,175511,51756,85592,4836,-82018,63030,1032,-6813,-13207,-30285,88972,-1219,-118038,40956,-60,11100,-3772,2652,0,7648,6704,0,1868,1360,3476,0,-400,-2672,0,2272,0,1456,0,3904,11312,412,158994,0,620,0,101972,70956,168,30848,12688,-88,12776,1336,7360,35018,17078,36840,154878
1976:Q3,560166,176128,147693,58148,744,102836,22727,54200,-2310,646137,314804,182635,56020,87610,5068,-85971,64131,-468,-6945,-14427,8,88712,-2624,-86080,53440,72,1068,3552,2784,0,1636,11292,0,5836,4064,1392,0,23016,4720,0,18296,0,1376,0,2448,5992,204,139520,0,508,0,68260,57000,1140,10120,21512,-128,21640,212,10648,38380,-14435,37264,123344
1976:Q4,574964,182716,151329,57076,736,104424,22690,58382,-2389,659772,322825,185299,56184,90004,5460,-84808,65342,812,-7680,-12598,-12340,87994,278,-100612,32104,116,-3902,8668,1704,0,-11182,15408,0,12980,2456,-28,0,14460,2108,0,12352,0,952,0,2896,3080,-96,132716,0,540,0,45268,39676,-1616,7208,16560,-60,16620,1244,8164,60940,-258,9924,110536
1977:Q1,593593,188798,154836,61516,708,110000,23625,56723,-2613,669662,329794,188004,54540,91504,5820,-76069,66812,-824,-13998,5565,5522,91409,1710,-87597,43268,240,4886,3932,1288,0,2030,17420,0,4084,14364,-1028,0,15724,1488,0,14236,0,740,0,616,-3624,16,130865,0,476,0,53228,39032,-616,14812,13724,-132,13856,208,8216,55013,43,29388,116985
1977:Q2,615969,195691,158028,67100,696,112840,24372,59964,-2722,684219,337145,188924,58388,93906,5856,-68250,68185,104,-7590,7421,17228,94217,604,-77593,46100,332,6066,6052,692,0,5138,18116,0,15168,3520,-572,0,11572,3924,0,7648,0,908,0,1632,-4132,-276,123693,0,568,0,59924,27216,-312,33020,-2568,-120,-2448,668,7312,57789,-9807,30224,107817
1977:Q3,631445,198551,161532,69724,724,115104,25049,63977,-3216,703590,344386,194352,61832,96604,6416,-72145,69256,-4,-7401,4516,16918,93628,-1920,-74790,71428,36,-1144,8548,-704,0,2884,22916,0,14964,6288,1664,0,28796,6280,0,22516,0,972,0,3548,5856,-280,146218,0,500,0,70168,56592,-1992,15568,58660,-100,58760,396,7384,9110,-12402,40496,115286
1977:Q4,647622,208476,164260,70088,780,117468,25626,64204,-3280,722889,353353,196964,61268,100996,10308,-75267,70568,-28,-7215,2544,-11771,93396,155,-105322,37212,360,-7248,9936,-244,0,-10748,15936,0,12472,1212,2252,0,23388,7256,0,16132,0,860,0,532,4516,-76,142534,0,500,0,64500,49376,-172,15296,13456,-100,13556,1412,6676,55990,14315,10276,115598
1978:Q1,662753,211996,166912,64960,868,124743,27556,68921,-3203,740644,359086,200356,66380,106142,8680,-77891,72232,40,-6940,1241,7367,93503,1756,-87892,70284,60,-6218,8516,-1128,0,2594,28644,0,19248,6840,2556,0,31832,6664,0,25168,0,1168,0,6380,-1552,-12,158176,0,440,0,72988,38484,-1292,35796,21948,-96,22044,212,7352,55236,-6126,36944,124836
1978:Q2,704066,223084,173059,78576,940,129889,29484,71752,-2718,756743,367337,201648,69156,110234,8368,-52677,74506,1272,-6844,27401,40119,104951,-1436,-63396,93292,416,18926,9916,-1768,0,5698,26544,0,8896,18500,-852,0,24512,5764,0,18748,0,568,0,5328,2956,196,156688,0,496,0,99076,54160,-388,45304,-5792,-108,-5684,1224,6756,54928,-12718,82208,145604
1978:Q3,721730,236298,169711,79148,988,134235,31424,71307,-1381,775759,374547,209908,68380,114636,8288,-54029,75802,-516,-6932,29221,41713,109682,2875,-70844,85496,172,4438,9392,-876,0,1990,23300,0,17848,6164,-712,0,38328,10048,0,28280,0,768,0,3460,4224,300,156340,0,472,0,74848,39380,-2208,37676,49936,-104,50040,268,8408,22408,-12492,57964,128808
1978:Q4,749877,247218,173910,83316,1020,139632,33973,73016,-2208,794033,382108,212764,69980,118773,10408,-44156,77783,936,-7036,39727,23860,114131,1377,-91648,68316,-5388,944,4768,-12600,0,15596,17572,0,1636,19656,-3720,0,26616,6804,0,19812,0,964,0,8976,10776,92,159964,0,592,0,40712,-3028,-1452,45192,42084,-80,42164,1056,13868,61652,15867,59956,151604
1979:Q1,763509,253625,176441,80328,1028,146890,36806,70681,-2290,808672,392092,217719,67412,123097,8352,-45163,79561,-724,-7152,42274,51674,109727,-619,-57434,62600,4568,-22646,3612,500,0,11214,33916,0,23040,14000,-3124,0,21056,12232,0,8824,0,652,0,2752,6736,240,120034,4556,1308,0,37332,9796,-2512,30048,4584,-104,4688,-72,6548,65778,-9400,42344,99778
1979:Q2,781132,261998,178493,80324,1080,151230,39040,71406,-2439,825252,399582,222187,68288,126419,8776,-44120,81882,700,-6976,44038,59846,116926,1718,-58798,82428,-24,19260,-1448,292,0,16080,12724,0,-1008,14036,-304,0,32520,12276,0,20244,0,584,0,6988,-4700,152,141226,0,1468,0,75636,51748,-1788,25676,-14700,-164,-14536,1052,9072,68698,-15808,82780,141578
1979:Q3,805530,274827,180902,78888,1176,156289,41861,74184,-2597,854342,407725,237735,70984,129766,8132,-48812,84515,-196,-7088,42987,35028,125381,-710,-89643,63768,0,5434,-148,44,0,4450,17784,0,2732,14828,224,0,25764,13080,0,12684,0,532,0,5852,3884,172,153411,0,1200,0,74728,47284,-304,27748,36776,-100,36876,8,9644,31055,7959,60912,150555
1979:Q4,823116,285202,184568,75328,1308,160304,44806,75069,-3469,879353,419422,243891,72620,134556,8864,-56237,86640,1108,-7544,36839,43455,128353,-3795,-81103,52140,256,-5990,-5816,-188,0,6234,19184,0,-18804,36584,1404,0,24784,14652,0,10132,0,440,0,9576,3996,-336,133243,0,1064,0,64708,43032,-528,22204,2560,-104,2664,1084,4868,58959,-6616,68796,149899
1980:Q1,843358,284825,189513,83072,1480,162917,48788,76317,-3554,913056,433070,254489,74552,141745,9200,-69698,89079,-1240,-7756,28377,44796,135712,-512,-90404,49608,4608,-18304,-936,-516,0,13092,-436,0,-10924,9496,992,0,32576,18088,0,14488,0,864,0,7760,10816,84,140012,4608,1044,0,90908,69020,-256,22144,-14160,-84,-14076,-128,7216,50524,-16419,62132,152536
1980:Q2,842630,292174,196896,62588,1600,163902,51578,78078,-4186,944895,453855,259637,73924,147855,9624,-102265,91936,-504,-8304,-1521,-14708,134692,2917,-152317,24380,-448,3590,-3380,212,0,12970,-1396,0,2912,-5580,1272,0,35196,18404,0,16792,0,684,0,2000,-24828,-220,176697,0,684,0,148912,129144,-756,20524,-16724,-128,-16596,976,8312,34537,13187,21056,173373
1980:Q3,875134,302195,204294,69904,1656,167972,52843,80788,-4518,986519,457798,291517,77288,149844,10072,-111385,94706,-1196,-8960,-6523,8714,134370,305,-125961,63120,1044,-3892,-4144,1172,0,12120,18784,0,22040,-3476,220,0,31948,16056,0,15892,0,1148,0,7360,-2316,-104,189081,0,520,0,116968,95804,-448,21612,2060,-116,2176,72,7168,62293,-15237,39424,165385
1980:Q4,917214,318854,210617,76752,1652,174021,56133,84853,-5668,1012596,469876,294521,82316,155579,10304,-95382,98096,824,-8476,10366,35024,139017,-10269,-93724,71744,-5140,6180,656,4956,0,-4376,19872,0,20460,1016,-1604,0,30820,16604,0,14216,0,484,0,9008,9308,-24,165468,0,716,0,100716,80332,-512,20896,5296,-88,5384,1340,9928,47472,-24658,50216,143940
1981:Q1,966945,330898,230842,75352,1584,191018,60232,83162,-6143,1045745,486948,300175,77621,170445,10556,-78800,100855,-1516,-8336,31907,15589,146402,2452,-133265,100100,5364,17514,-264,2100,0,5314,21592,0,18756,3372,-536,0,37904,14288,0,23616,0,780,0,7628,1772,396,233365,4372,688,0,145796,119492,-216,26520,2352,-120,2472,-128,9832,70453,16318,82412,215677
1981:Q2,982339,342672,235496,65872,1536,194755,63331,82813,-4136,1070298,503408,303151,77642,175393,10704,-87959,103989,-212,-8848,25090,35546,145265,-3074,-106645,13460,92,-33860,152,3824,0,-3132,32304,0,24696,8256,-648,0,37236,15108,0,22128,0,1292,0,5188,-29832,196,120105,0,616,0,87752,73060,-636,15328,3968,-108,4076,1336,6180,20253,-10456,-12496,94149
1981:Q3,1006601,356887,237466,68356,1492,199536,66989,80514,-4639,1103884,512067,321431,76134,183132,11120,-97283,106710,-1616,-9204,20247,12319,145707,-10812,-122576,48412,892,-8684,2508,2452,0,2320,28888,0,13536,14500,852,0,26256,9948,0,16308,0,1264,0,2760,-10492,248,170988,0,620,0,102744,69860,-248,33132,-5688,-112,-5576,-96,4036,69372,7928,34428,157004
1981:Q4,998260,352663,238772,58896,1456,202167,70353,77905,-3952,1127176,525742,323631,72889,191402,13512,-128916,109643,-148,-9364,-9761,-33097,151985,-1690,-183392,40372,532,20720,6508,856,0,-16124,18648,0,6464,11328,856,0,21668,11140,0,10528,0,1232,0,3928,-17088,-508,223764,0,676,0,152032,121748,-264,30548,3420,-96,3516,1440,7396,58800,23336,32552,215944
1982:Q1,995037,352515,237401,47624,1336,207206,73257,79136,-3438,1151667,537871,328285,74025,197490,13996,-156630,112559,-2768,-11092,-30211,-66907,150235,-1304,-215838,37684,1596,11140,11108,2444,0,-6776,21308,0,32760,-13288,1836,0,20196,6828,0,13368,0,852,0,2872,-26988,-68,253522,0,620,0,164912,125056,-2392,42248,14988,-104,15092,140,8444,64418,36696,-812,215026
1982:Q2,1010650,359735,238262,49004,1328,209231,75330,81110,-3350,1175405,546705,337473,74227,203396,13604,-164755,115867,1020,-9980,-39928,-40014,156387,1193,-197594,27744,960,-31502,6056,4152,0,6370,28340,0,34380,-6052,12,0,24364,8216,0,16148,0,1140,0,7012,-19084,-64,225338,0,560,0,138248,96856,-84,41476,6292,-128,6420,1456,13708,65074,86,-7448,190146
1982:Q3,1007134,350149,241777,49804,1320,211507,76271,79803,-3497,1210178,559943,353801,73080,210314,13040,-203044,118035,-152,-9732,-75125,-99251,157401,1707,-258359,89408,1732,22526,8400,2012,0,4806,11068,0,-11636,22688,16,0,30336,5416,0,24920,0,1028,0,1152,6056,292,347767,0,540,0,264584,226180,-168,38572,2440,-120,2560,40,11512,68651,24126,96984,355343
1982:Q4,1015904,356573,246292,45072,1504,212400,76469,80978,-3384,1251930,573598,369169,76275,213460,19428,-236026,119825,-376,-8360,-107465,-94082,163752,-7507,-250327,72328,1188,18760,352,3008,0,7380,5668,0,5524,1032,-888,0,21672,9952,0,11720,0,1008,0,13524,-36,-196,322655,0,524,0,246780,206432,-368,40716,22120,-124,22244,1748,12076,39407,-13383,61768,312095
1983:Q1,1027354,350873,250664,47056,1152,220176,77558,82463,-2588,1265767,583139,371662,73703,217363,19900,-238413,120010,-2760,-8112,-107531,-132568,164713,2220,-299501,66820,392,11524,-4664,8792,0,6824,20572,0,17792,1608,672,500,19988,4712,0,15276,0,1660,0,1032,904,-204,366321,0,680,0,289328,247000,144,42184,14776,-60,14836,112,5680,55745,25037,38748,338249
1983:Q2,1069683,359553,261239,61920,1244,224208,78714,84881,-2076,1293109,594009,377374,76684,223458,21584,-223426,123060,2680,-8288,-94758,-128190,167052,-12441,-282801,98808,1212,3410,-5368,1096,0,18558,9624,0,8412,1900,-1188,500,45868,10636,0,35232,0,900,0,3140,19232,1136,381609,0,716,0,267584,206132,-172,61624,39244,-128,39372,1620,14192,58253,33432,67176,349977
1983:Q3,1077783,345432,267494,70704,1220,228911,81143,84584,-1705,1311287,607725,372082,77316,231968,22196,-233504,125520,-1676,-8752,-97556,-85795,174491,-2949,-257337,78356,836,7920,-3912,208,0,27840,1572,0,2404,-2840,1008,1000,29168,9016,0,20152,0,1396,0,2740,10184,404,335693,0,704,0,215920,178884,-96,37132,28224,-56,28280,208,12720,77917,-11761,60940,318277
