1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,238526,1828,166727,2343,22770,44858,238526,229803,0,40061,166972,22770,5324,396,99,2055,43,0,2731,0,0,0,0,3399,238526,57870,28451,19587,0,5,9827,175762,23604,89139,638,312,100,7687,39647,5928,0,5331,0,462,440,0,428,0,0,0,1184,0,862,4894,0
1952:Q1,240548,2109,165360,2194,25016,45869,240548,231785,0,41201,165568,25016,5325,370,93,1941,45,0,2876,0,0,0,0,3438,240548,59886,30920,18825,0,14,10127,175865,22228,89218,693,313,102,7929,40192,6171,0,5572,0,501,453,0,565,0,0,0,874,0,1054,4797,0
1952:Q2,244346,2227,165031,2138,27480,47470,244346,235211,0,42647,165084,27480,5648,336,84,2038,47,0,3143,0,0,0,0,3487,244346,61447,33084,17555,0,4,10804,177992,22506,89471,754,320,103,8063,40480,6414,0,5749,0,510,469,0,496,0,0,0,1699,0,958,4907,0
1952:Q3,250059,2436,167863,2579,28695,48486,250059,240775,0,43816,168264,28695,5880,367,92,2128,50,0,3243,0,0,0,0,3404,250059,63719,34755,18007,0,2,10955,181035,23215,90836,672,328,104,8358,41317,6691,0,6089,0,516,485,0,483,0,0,0,834,0,1107,5305,0
1952:Q4,255908,2246,171619,2781,29657,49605,255908,246730,0,44828,172245,29657,5752,398,99,2102,53,0,3100,0,0,0,0,3426,255908,65075,35169,18655,0,2,11249,185697,24034,92477,722,333,107,8610,41974,7027,0,6287,0,539,500,0,495,0,0,0,1486,0,1106,5136,0
1953:Q1,255440,2440,168191,2779,31221,50809,255440,245767,0,45627,168919,31221,6196,368,92,1996,55,0,3685,0,0,0,0,3477,255440,65981,35208,19241,0,54,11478,184202,23269,90269,682,335,108,8906,42691,7375,0,6561,0,542,515,0,695,0,0,0,914,0,1340,5257,0
1953:Q2,257803,2248,168581,2349,32379,52246,257803,247810,0,46567,168864,32379,6641,346,86,2010,56,0,4143,0,0,0,0,3352,257803,68273,39045,17581,0,20,11627,184042,24146,87994,709,335,109,9127,43255,7717,0,6932,0,520,530,0,574,0,0,0,821,0,1273,5488,0
1953:Q3,267017,2576,175018,2610,33795,53018,267017,256385,0,47147,175443,33795,7325,416,104,2127,58,0,4620,0,0,0,0,3307,267017,70642,39364,19467,0,1,11810,190588,24635,92066,700,334,110,9429,43746,8029,0,7291,0,524,545,0,592,0,0,0,1140,0,1447,5787,0
1953:Q4,273245,2624,176814,4412,35012,54383,273245,262493,0,48414,179067,35012,7438,463,116,2099,60,0,4700,0,0,0,0,3314,273245,71281,38681,20449,0,0,12151,196154,25317,95004,758,333,113,9734,44402,8301,0,7514,0,547,560,0,589,0,0,0,1608,0,1374,5810,0
1954:Q1,271904,2979,172200,4843,36516,55366,271904,260941,0,49314,175111,36516,7478,469,117,1871,61,0,4960,0,0,0,0,3485,271904,70533,39020,19162,0,18,12333,195316,24232,93618,729,336,115,9925,45097,8578,0,7898,0,595,575,0,901,0,0,0,1219,0,1498,6055,0
1954:Q2,272921,2839,171915,4031,37866,56270,272921,261991,0,50208,173917,37866,7508,476,119,1967,62,0,4884,0,0,0,0,3422,272921,67067,38450,16134,0,8,12475,199934,24737,95997,728,343,117,10149,45513,8870,0,8305,0,608,589,0,872,0,0,0,1738,0,1368,5920,0
1954:Q3,277288,2915,175045,2699,39376,57253,277288,266541,0,51583,175582,39376,7423,492,123,2092,70,0,4646,0,0,0,0,3324,277288,67744,37369,17663,0,6,12706,203276,23946,98877,716,350,119,10415,45899,9203,0,8606,0,648,603,0,896,0,0,0,1626,0,1372,6268,0
1954:Q4,284149,2904,178532,4480,40663,57570,284149,273611,0,52078,180870,40663,7274,706,176,2064,78,0,4250,0,0,0,0,3264,284149,68786,37084,18786,0,1,12915,208933,24888,102372,798,350,121,10685,46294,9589,0,8912,0,671,620,0,849,0,0,0,1635,0,1149,6430,0
1955:Q1,282043,3112,173973,4726,42155,58077,282043,271278,0,52555,176568,42155,7595,652,163,2045,86,0,4649,0,0,0,0,3170,282043,70960,38748,19039,0,7,13166,204654,23505,98215,781,349,124,10764,46861,9964,0,9188,0,677,638,0,982,0,0,0,1150,0,1456,6429,0
1955:Q2,281983,3047,172997,4006,43267,58666,281983,270973,0,53159,174547,43267,7898,530,132,2361,95,0,4780,0,0,0,0,3112,281983,72108,40234,18399,0,8,13467,203464,23423,95846,876,344,128,10909,47167,10326,0,9459,0,728,659,0,869,0,0,0,1182,0,1548,6411,0
1955:Q3,285763,3020,175191,3615,44668,59269,285763,274391,0,53624,176099,44668,8300,542,136,2602,105,0,4915,0,0,0,0,3072,285763,76363,42276,20323,0,4,13760,202789,23421,93934,903,339,132,11202,47656,10628,0,9788,0,795,680,0,637,0,0,0,1067,0,1607,6611,0
1955:Q4,292158,2749,178189,4732,45697,60791,292158,280423,0,54926,179800,45697,8664,518,130,3005,116,0,4895,0,0,0,0,3071,292158,80496,43368,23017,0,20,14091,204986,24415,93747,963,336,136,11377,47741,10844,0,10139,0,820,700,0,936,0,0,0,1387,0,1445,6676,0
1956:Q1,290708,3326,173724,4855,46932,61871,290708,277621,0,55348,175341,46932,9926,534,133,3111,127,0,6021,0,0,0,0,3161,290708,80725,45534,20868,0,15,14308,202868,23318,91068,894,339,140,11419,48058,11088,0,10594,0,916,720,0,1256,0,0,0,1091,0,1967,7115,0
1956:Q2,287323,3221,168502,4605,47853,63142,287323,273741,0,56235,169653,47853,10340,553,138,3316,138,0,6195,0,0,0,0,3242,287323,79223,46872,17675,0,14,14662,200900,23475,88401,888,346,144,11461,48330,11388,0,10840,0,826,739,0,1267,0,0,0,1015,0,1780,7200,0
1956:Q3,291055,3401,169476,4619,49038,64521,291055,276845,0,57414,170393,49038,10894,650,163,3559,143,0,6379,0,0,0,0,3316,291055,81187,48602,17616,0,6,14963,202302,23310,88728,866,354,148,11612,48852,11781,0,11073,0,1025,758,0,1257,0,0,0,817,0,1721,7566,0
1956:Q4,296559,3227,172637,4953,49862,65880,296559,282273,0,58418,173993,49862,10905,782,195,3448,149,0,6331,0,0,0,0,3381,296559,83060,49060,18765,0,9,15226,206238,24644,90229,855,361,151,11782,49107,12273,0,11286,0,1051,780,0,1226,0,0,0,965,0,1528,7261,0
1957:Q1,299586,3793,171487,5380,50925,68001,299586,283653,0,59863,172865,50925,12335,823,206,3845,157,0,7304,0,0,0,0,3598,299586,85357,51600,18440,0,20,15297,206881,22689,91170,831,366,155,11835,49675,12764,0,11631,0,1094,803,0,1342,0,0,0,570,0,1956,7348,0
1957:Q2,296752,3515,166057,5538,51836,69806,296752,280114,0,61295,166983,51836,12914,791,198,4446,166,0,7313,0,0,0,0,3724,296752,84516,52610,16579,0,18,15309,204974,22658,87977,847,369,159,11927,50173,13200,0,11974,0,1191,828,0,1269,0,0,0,659,0,1743,7262,0
1957:Q3,304990,3845,170669,5509,53192,71775,304990,287417,0,62852,171373,53192,13818,967,242,4635,170,0,7804,0,0,0,0,3755,304990,87492,54976,17328,0,19,15169,210356,22769,91471,811,372,163,12160,50844,13579,0,12380,0,1166,853,0,1137,0,0,0,819,0,1832,7142,0
1957:Q4,310562,4066,171843,6700,54369,73584,310562,292385,0,64494,173522,54369,14361,1056,264,4848,173,0,8020,0,0,0,0,3816,310562,89026,55721,18303,0,13,14989,214061,23762,92157,785,373,166,12438,51356,13911,0,12718,0,1180,880,0,1143,0,0,0,1354,0,1838,7475,0
1958:Q1,314219,5152,170060,7178,55829,76000,314219,294817,0,66653,172335,55829,15315,1235,309,4728,175,0,8868,0,0,0,0,4087,314219,87975,56176,17057,0,55,14687,219264,23154,95523,753,381,170,12432,52099,14255,0,13197,0,1298,908,0,1742,0,0,0,1220,0,2132,6980,0
1958:Q2,318541,4873,173354,6024,56972,77318,318541,299356,0,67808,174576,56972,14758,1093,273,4625,177,0,8590,0,0,0,0,4427,318541,84211,54438,14977,0,26,14770,227984,25173,99878,788,393,174,12555,52766,14615,0,13439,0,1478,937,0,1631,0,0,0,1940,0,2217,6346,0
1958:Q3,321834,4573,173914,6314,58513,78520,321834,302976,0,69258,175205,58513,14343,1035,259,4840,183,0,8026,0,0,0,0,4515,321834,83741,52971,15928,0,7,14835,230952,24678,102696,750,404,178,12858,53619,15000,0,13818,0,1477,967,0,1497,0,0,0,775,0,2235,7141,0
1958:Q4,331684,4053,181096,6713,59819,80003,331684,312886,0,70373,182694,59819,14064,965,241,4925,190,0,7743,0,0,0,0,4734,331684,87967,54143,18860,0,3,14961,236194,26295,104496,797,408,181,13222,54283,15409,0,14227,0,1453,996,0,1252,0,0,0,1242,0,1933,7523,0
1959:Q1,334435,4444,181118,6550,61397,80926,334435,314788,0,70959,182432,61397,14744,852,213,5041,195,0,8443,0,0,0,0,4903,334435,92541,56944,20440,0,2,15155,233948,25436,101596,793,327,184,13358,55051,15669,0,14634,0,1528,1075,0,1457,0,0,0,825,0,2015,7946,0
1959:Q2,338386,4494,182046,7137,62655,82054,338386,317354,0,71627,183072,62655,16064,794,199,5910,201,0,8960,0,0,0,0,4968,338386,95089,57963,21635,0,6,15485,233430,26000,98941,798,255,186,13603,55888,16062,0,14953,0,1562,1102,0,1328,0,0,0,719,0,2033,9867,0
1959:Q3,346490,4412,186548,7863,64594,83073,346490,324345,0,72264,187487,64594,17047,771,193,6722,202,0,9159,0,0,0,0,5098,346490,100723,61011,24006,0,15,15691,234699,26513,97526,790,146,188,14004,56375,16419,0,15459,0,1699,1131,0,1317,0,0,0,882,0,2250,11068,0
1959:Q4,352991,4365,190148,8272,65661,84545,352991,329867,0,73109,191097,65661,17917,930,233,7120,203,0,9431,0,0,0,0,5207,352991,105819,64358,25357,0,2,16102,235466,26650,96473,823,135,191,14460,56686,16896,0,15845,0,1799,1165,0,1352,0,0,0,1232,0,1759,11706,0
1960:Q1,354226,5875,186451,8138,67248,86514,354226,328320,0,73643,187429,67248,20420,1104,276,6956,204,0,11880,0,0,0,0,5486,354226,110552,69706,24375,0,47,16424,231582,25173,91585,789,138,193,14764,57148,17228,0,16338,0,1848,1265,0,1556,0,0,0,637,0,2920,12092,0
1960:Q2,355624,6023,184325,8769,68353,88154,355624,328285,0,74654,185278,68353,21728,1117,279,7610,206,0,12516,0,0,0,0,5611,355624,109853,70504,22526,0,16,16807,233781,26328,91081,790,145,195,14995,57481,17507,0,16717,0,1919,1322,0,1437,0,0,0,896,0,2968,11990,0
1960:Q3,360517,6413,186230,8322,69924,89628,360517,332217,0,75671,186622,69924,22613,1348,337,7726,204,0,12998,0,0,0,0,5687,360517,107949,69857,20832,0,4,17256,240232,26488,95243,772,153,197,15184,58052,17860,0,16998,0,2006,1373,0,1450,0,0,0,1405,0,3051,12336,0
1960:Q4,366394,6544,188350,8749,70971,91780,366394,336994,0,76985,189038,70971,23616,1638,409,7860,201,0,13508,0,0,0,0,5784,366394,106765,69154,20038,0,37,17536,247019,27038,99543,803,154,201,15352,58555,18381,0,17437,0,2043,1400,0,1494,0,0,0,1891,0,2727,12610,0
1961:Q1,366628,7331,185688,8513,72420,92676,366628,336242,0,77200,186622,72420,24517,1802,451,7378,201,0,14685,0,0,0,0,5869,366628,105003,67790,19503,0,36,17674,248971,26423,100142,944,158,205,15550,59235,18511,0,17992,0,2091,1468,0,1757,0,0,0,1207,0,3288,12654,0
1961:Q2,370079,7230,185994,8571,73250,95034,370079,339156,0,79256,186650,73250,24881,1835,459,7715,200,0,14672,0,0,0,0,6042,370079,105067,67904,19264,0,13,17886,252721,27029,101716,985,160,210,15777,59762,18909,0,18435,0,2036,1449,0,1708,0,0,0,1383,0,3162,12291,0
1961:Q3,378001,7321,191041,8893,75018,95728,378001,346749,0,80254,191477,75018,25143,1957,489,8213,244,0,14240,0,0,0,0,6109,378001,104451,68371,17972,0,37,18071,260563,26904,107727,1078,161,215,16046,60490,19181,0,18853,0,2160,1421,0,1635,0,0,0,1525,0,3167,12987,0
1961:Q4,385044,7396,194206,9759,76349,97334,385044,353255,0,81705,195201,76349,25568,2168,542,8474,290,0,14094,0,0,0,0,6221,385044,106535,69387,18828,0,35,18285,265445,28770,109658,892,157,221,16361,60932,19596,0,19186,0,2449,1399,0,1419,0,0,0,2043,0,2362,13064,0
1962:Q1,389565,8238,194302,10457,78037,98531,389565,356201,0,82568,195596,78037,26942,2018,505,8851,312,0,15256,0,0,0,0,6422,389565,107015,69362,19393,0,38,18222,269273,28600,109762,1106,159,226,16704,61952,19870,0,19830,0,2420,1434,0,1952,0,0,0,1852,0,3406,13277,0
1962:Q2,392544,8230,194009,10871,79203,100231,392544,358632,0,84073,195356,79203,27175,1892,473,9188,336,0,15286,0,0,0,0,6737,392544,105863,69118,18221,0,8,18516,272962,29453,110759,1389,161,230,17113,62616,20322,0,20248,0,2358,1392,0,1594,0,0,0,1968,0,3359,13719,0
1962:Q3,395898,8881,194901,10861,80552,100703,395898,361122,0,84921,195649,80552,27945,1843,461,9740,373,0,15528,0,0,0,0,6831,395898,106303,70279,17088,0,5,18931,275216,28816,111415,1265,164,235,17514,63401,20522,0,20671,0,2600,1363,0,1622,0,0,0,2014,0,3614,14379,0
1962:Q4,404860,8676,199754,11939,81800,102691,404860,368933,0,85841,201292,81800,28712,2141,535,9988,413,0,15635,0,0,0,0,7215,404860,106412,69232,17583,0,0,19597,283651,30530,116047,1054,168,241,17837,63722,21025,0,20969,0,2643,1377,0,1792,0,0,0,2964,0,3282,14797,0
1963:Q1,408367,9716,199827,11315,82976,104533,408367,371335,0,86793,201566,82976,29323,2092,523,9123,453,0,17132,0,0,0,0,7709,408367,107435,65500,21755,0,10,20170,285991,30366,116207,1071,182,251,18087,64571,21405,0,21386,0,2646,1499,0,2232,0,0,0,1923,0,4165,14941,0
1963:Q2,411945,9977,199094,12012,84724,106138,411945,372989,0,87682,200583,84724,30740,2179,545,10028,495,0,17493,0,0,0,0,8216,411945,106497,64641,21340,0,59,20457,289756,31850,116142,1037,205,263,18275,65049,21837,0,22017,0,2487,1614,0,2358,0,0,0,1972,0,4650,15692,0
1963:Q3,414213,9922,199333,12145,85899,106914,414213,374504,0,88336,200269,85899,31422,2224,547,10700,509,0,17442,0,0,0,0,8287,414213,106862,65002,21017,0,41,20802,291321,32023,115503,804,226,275,18442,65704,22284,0,22492,0,2719,1737,0,1870,0,0,0,2202,0,5040,16030,0
1963:Q4,421382,9709,202211,13416,87040,109006,421382,380000,0,89382,203578,87040,33174,2568,584,11524,525,0,17973,0,0,0,0,8208,421382,109226,66655,21492,0,29,21050,296263,33652,117821,735,235,286,18625,66083,22609,0,22944,0,2823,1823,0,2204,0,0,0,1921,0,4502,15893,0
1964:Q1,425023,10923,202520,12740,88177,110663,425023,381972,0,90039,203756,88177,34954,2926,627,10953,551,0,19897,0,0,0,0,8097,425023,111960,68234,22638,0,21,21067,297549,33223,117467,745,234,294,18817,66778,23056,0,23660,0,2894,1957,0,2006,0,0,0,1479,0,4939,15514,0
1964:Q2,428310,11276,200805,13630,89948,112651,428310,383368,0,91251,202169,89948,36693,3077,636,11685,581,0,20714,0,0,0,0,8249,428310,111725,68446,22000,0,14,21265,300966,34517,116033,742,225,300,19004,67190,23427,0,24387,0,3092,2003,0,2052,0,0,0,2257,0,5737,15619,0
1964:Q3,434458,11735,203501,13574,91760,113888,434458,388577,0,92139,204678,91760,37676,3243,641,11795,602,0,21395,0,0,0,0,8205,434458,112245,69385,21074,0,20,21766,305921,35009,119029,883,215,306,19197,67759,23718,0,24881,0,3175,2034,0,1847,0,0,0,2564,0,5304,16292,0
1964:Q4,443179,11861,206767,14783,93160,116608,443179,395682,0,93533,208989,93160,38822,3508,684,11937,624,0,22069,0,0,0,0,8675,443179,113230,69875,20855,0,12,22488,313041,36565,122984,811,204,311,19412,67963,24398,0,25255,0,3197,2051,0,1762,0,0,0,2674,0,5454,16908,0
1965:Q1,446532,12535,206174,15040,94661,118122,446532,397332,0,94189,208482,94661,40435,3579,672,12056,676,0,23452,0,0,0,0,8765,446532,114906,71018,21054,0,18,22816,315134,37184,120825,854,205,316,19630,68718,24938,0,26054,0,3545,2131,0,2013,0,0,0,2104,0,6617,16492,0
1965:Q2,448508,12891,202972,15930,96858,119857,448508,397464,0,95668,204938,96858,42209,4201,678,13234,730,0,23366,0,0,0,0,8835,448508,113566,70757,19512,0,25,23272,318745,38703,120087,823,209,318,19836,69144,25197,0,26689,0,3449,2112,0,1932,0,0,0,3132,0,7114,16197,0
1965:Q3,451853,13210,201452,16790,98905,121496,451853,400185,0,97560,203720,98905,42691,4195,669,13725,797,0,23305,0,0,0,0,8977,451853,115266,72069,19162,0,47,23988,320019,39280,120551,906,215,323,20082,69914,25334,0,27096,0,3822,2084,0,1832,0,0,0,1721,0,6859,16568,0
1965:Q4,460658,12726,207025,17385,100397,123125,460658,408149,0,98057,209695,100397,43374,4331,685,13846,869,0,23643,0,0,0,0,9135,460658,116030,71438,19756,0,45,24791,327243,40553,124611,930,222,338,20419,70152,25696,0,27515,0,3861,2061,0,1896,0,0,0,2449,0,6540,17385,0
1966:Q1,468965,14456,206960,18869,101842,126838,468965,412955,0,101043,210070,101842,46516,4371,684,14810,949,0,25702,0,0,0,0,9494,468965,123783,78025,20617,0,67,25074,328360,40226,122358,885,237,363,20691,71412,26684,0,28357,0,4308,2113,0,1876,0,0,0,1605,0,7245,16822,0
1966:Q2,471996,14545,200411,23042,104141,129857,471996,412832,0,103651,205040,104141,49535,4457,691,17380,1033,0,25974,0,0,0,0,9629,471996,123753,79074,19245,0,106,25328,331186,41907,120772,814,258,399,21087,71533,27014,0,28941,0,4578,2082,0,2187,0,0,0,2303,0,7311,17057,0
1966:Q3,479653,15527,202581,23200,105524,132821,479653,418716,0,106689,206503,105524,51201,4417,681,18111,1167,0,26825,0,0,0,0,9736,479653,128456,84603,18339,0,547,24967,334016,41585,121216,955,280,437,21496,71867,27411,0,29837,0,4950,2056,0,2075,0,0,0,1595,0,8256,17181,0
1966:Q4,491972,17284,208138,24243,106633,135674,491972,427892,0,109096,212163,106633,54210,4605,728,18904,1314,0,28659,0,0,0,0,9870,491972,130534,86024,18572,0,1355,24583,344177,43724,123936,977,295,467,21882,72193,27981,0,30432,0,5119,2044,0,2831,0,0,0,3235,0,9061,17261,0
1967:Q1,502342,20234,209601,25227,107874,139406,502342,436258,0,113294,215090,107874,55925,4890,748,18258,1480,0,30549,0,0,0,0,10159,502342,128810,84641,18078,0,1769,24322,355653,44029,130538,1017,317,490,22251,73128,28227,0,30920,0,4835,2117,0,3818,0,0,0,3379,0,10587,17879,0
1967:Q2,500222,20779,199980,26373,110195,142895,500222,434753,0,117478,207080,110195,55073,5258,834,17613,1660,0,29708,0,0,0,0,10396,500222,121591,80255,15334,0,1737,24265,360371,46355,132439,1050,339,507,22576,73907,28195,0,31595,0,4363,2123,0,3975,0,0,0,2340,0,10607,18260,0
1967:Q3,515701,20941,208290,26150,112319,148001,515701,449537,0,122009,215209,112319,55379,5305,837,17410,1821,0,30006,0,0,0,0,10785,515701,125291,84437,14993,50,1345,24466,371419,46462,141977,1252,361,525,22913,75169,28553,0,32328,0,4145,2143,0,3153,0,0,0,2632,0,9806,18991,0
1967:Q4,533171,21445,216899,28518,113793,152516,533171,464038,0,125166,225079,113793,58047,5451,872,18350,1988,0,31386,0,0,0,0,11086,533171,130161,87305,16871,100,1267,24618,382973,49055,147416,1389,382,549,23298,75730,28679,0,33277,0,4309,2189,0,2855,0,0,0,2888,0,10957,20037,0
1968:Q1,546637,23506,222114,30168,115278,155571,546637,474145,0,128216,230651,115278,61103,5466,876,19462,2169,0,33130,0,0,0,0,11389,546637,136056,90165,19243,150,1251,25247,390704,49595,150025,1420,395,582,23744,77153,29303,0,33818,0,4918,2271,0,3019,0,0,0,2509,0,11952,19877,0
1968:Q2,550288,23840,217294,32673,117323,159158,550288,475737,0,131662,226752,117323,63102,5602,866,20856,2359,0,33419,0,0,0,0,11449,550288,137638,91551,18304,200,1658,25925,393304,52364,148398,1412,403,617,24248,77814,29317,0,34599,0,4326,2399,0,3180,0,0,0,2305,0,11922,19346,0
1968:Q3,565217,25346,223989,33932,119319,162631,565217,490276,0,136491,234466,119319,63258,5718,874,21011,2444,0,33211,0,0,0,0,11683,565217,138630,92165,17515,250,1641,27059,405864,52454,156075,1408,410,659,24758,78704,29505,0,35358,0,4654,2522,0,2767,0,0,0,4211,0,12379,20723,0
1968:Q4,575991,25645,225679,35445,122132,167090,575991,498425,0,139274,237019,122132,65396,5799,894,21579,2526,0,34598,0,0,0,0,12170,575991,139702,90473,19274,300,1401,28254,413683,52995,161380,1361,444,712,25220,79362,29756,0,36278,0,4128,2588,0,2735,0,0,0,3534,0,13190,22606,0
1969:Q1,587388,28933,225552,36896,125803,170204,587388,506249,0,143342,237104,125803,68652,5704,902,22728,2616,0,36502,0,0,200,0,12487,587388,153772,101511,20976,350,1102,29833,411640,52089,157368,1401,459,778,25637,80683,29729,0,37074,0,5161,2702,0,2467,0,0,0,1823,0,14269,21976,0
1969:Q2,586710,31731,213596,38803,129343,173237,586710,500655,0,146673,224639,129343,73363,5952,986,25059,2701,0,37416,4,0,1245,0,12692,586710,151241,99897,19656,400,472,30816,413216,54136,153307,1424,473,858,25928,80849,29571,0,38022,0,4760,2699,0,2527,0,0,0,2851,0,15811,22253,0
1969:Q3,604956,35763,219837,40084,132054,177218,604956,511581,0,150311,229216,132054,80268,6242,1057,27756,2949,0,39651,18,0,2595,0,13107,604956,164597,114569,17611,450,354,31613,415426,54028,151009,1482,488,943,26381,81478,30160,0,39122,0,5334,2660,0,1908,0,0,0,2087,0,18346,24933,0
