1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,9944,-2632,11556,1020,9944,7124,428,-1000,-396,-144,3188,0,0,200,-112,32,232,0,56,0,0,0,0,0,0,0,336
1970:Q1,13904,-1808,14532,1180,13904,11632,-800,64,-1812,172,3588,0,0,196,276,232,-120,0,104,0,0,-4,0,0,0,0,376
1970:Q2,5088,-1944,6176,856,5088,3160,40,-12,-1688,-172,2284,0,0,328,396,-12,328,0,68,0,0,-8,0,0,0,0,376
1970:Q3,7652,-396,6372,1676,7652,2980,-1288,-16,-1900,320,6320,0,0,380,-580,172,1024,0,-132,0,0,28,0,0,0,0,344
1970:Q4,8664,316,5856,2492,8664,780,180,-424,-3928,-320,12080,0,0,344,-40,176,-48,0,-340,0,0,4,0,0,0,0,200
1971:Q1,-2144,-2828,-4124,4808,-2144,-3884,-640,0,-4572,740,6080,0,0,136,304,28,-580,0,-308,0,0,40,0,0,0,0,512
1971:Q2,1824,-940,-3696,6460,1824,-7352,-480,-28,-2928,-740,13616,0,0,132,480,0,-664,0,-56,0,0,40,0,0,0,0,-196
1971:Q3,8268,-1764,6844,3188,8268,3264,-108,0,-604,396,4308,0,0,204,228,296,-12,0,192,0,0,-4,0,0,0,0,108
1971:Q4,11464,1332,5544,4588,11464,2660,36,100,-584,1544,7036,0,0,368,64,56,64,0,384,0,0,4,0,0,0,0,-268
1972:Q1,6168,344,1720,4104,6168,-7128,-352,-84,924,1092,8412,280,0,460,612,356,1008,0,496,0,0,20,0,0,0,0,72
1972:Q2,10500,-60,5736,4824,10500,-4664,-60,-4,3848,1232,5900,280,0,644,816,-68,1396,0,528,0,0,32,0,0,0,0,620
1972:Q3,8788,1848,2672,4268,8788,-2872,668,0,2752,-180,4068,280,0,620,644,204,2136,0,576,0,0,32,0,0,0,0,-140
1972:Q4,11776,1464,3956,6356,11776,-8264,244,20,5760,1160,10840,-28,0,544,-508,-60,1348,0,644,0,0,48,0,0,0,0,28
1973:Q1,12084,1044,8016,3024,12084,-1436,244,20,5464,32,3904,336,0,-16,652,116,2080,0,716,0,0,4,0,0,0,0,-32
1973:Q2,24304,-1668,20152,5820,24304,-276,636,-28,6872,400,13804,192,0,316,112,204,760,0,784,0,0,272,0,0,0,0,256
1973:Q3,27884,1768,24348,1768,27884,4060,1612,-8,7144,864,10920,296,0,256,-348,376,720,0,1440,0,0,12,0,0,0,0,540
1973:Q4,17172,576,12664,3932,17172,-4612,1504,8,7052,1208,9832,-60,0,316,-328,-100,896,0,1976,0,0,36,0,0,0,0,-556
1974:Q1,8264,1428,160,6676,8264,-10364,1180,8,6540,40,6508,436,0,272,568,192,240,0,1932,0,0,-36,0,0,0,0,748
1974:Q2,23632,-116,22056,1692,23632,4912,1108,-32,4964,3524,5540,124,0,244,1316,20,48,0,1312,0,0,-4,0,0,0,0,556
1974:Q3,35676,-832,30628,5880,35676,22428,1892,0,2312,4024,2272,-180,0,280,636,208,988,0,1024,0,0,-8,0,0,0,0,-200
1974:Q4,16248,-1000,13564,3684,16248,8632,-508,0,-1472,3472,4720,180,0,472,-1040,304,3176,0,728,0,0,556,0,0,0,0,-2972
1975:Q1,9208,-1172,-1468,11848,9208,-5152,788,0,1132,1368,7684,-892,0,644,1132,180,1472,0,544,0,0,-260,0,0,0,0,568
1975:Q2,4336,-196,-200,4732,4336,-11060,-1776,0,5132,-792,11116,-192,0,880,-196,276,908,0,468,0,0,60,0,0,0,0,-488
1975:Q3,8428,-36,3736,4728,8428,-4340,-284,0,3584,3076,6232,-216,0,876,-340,412,324,0,836,0,0,0,0,0,0,0,-1732
1975:Q4,14196,-8,7300,6904,14196,-392,-880,0,-1200,1828,5952,216,0,744,1892,548,1940,0,836,0,0,100,0,0,0,1320,1292
1976:Q1,11780,224,992,10564,11780,-4392,-704,0,732,2140,8260,-60,0,580,1088,892,1940,0,1128,0,0,-216,0,0,0,88,304
1976:Q2,13732,168,2108,11456,13732,2456,-236,0,1360,792,3224,220,0,500,1252,24,1500,0,1276,0,0,32,0,0,0,88,1244
1976:Q3,18272,1140,5260,11872,18272,-2332,-44,0,4064,-304,11740,-276,0,388,536,1768,764,0,1680,0,0,-88,0,0,0,88,288
1976:Q4,14700,-1616,1480,14836,14700,13840,-600,0,2456,260,-3552,92,0,420,-648,912,-1768,0,2244,0,0,396,0,0,0,224,424
1977:Q1,21792,-616,3508,18900,21792,-16876,-316,0,14364,-416,10668,-268,0,508,1808,916,4056,0,6304,0,0,376,0,0,0,216,452
1977:Q2,20148,-312,10212,10248,20148,444,-428,0,3520,2932,7472,-72,0,272,60,552,2164,0,828,0,0,-728,0,0,0,264,2868
1977:Q3,21140,-1992,5404,17728,21140,1372,-1228,0,6288,-212,5656,-32,0,284,-404,1420,3920,0,880,0,0,-100,0,0,0,352,2944
1977:Q4,26092,-172,8700,17564,26092,1656,1188,0,1212,2536,8252,-84,0,444,644,3848,-436,0,2984,0,0,-1032,0,0,0,308,4572
1978:Q1,27240,-1292,17696,10836,27240,616,900,0,6840,-300,9616,124,0,620,-96,2412,-116,0,5532,0,0,504,0,0,0,-308,896
1978:Q2,38640,-388,26632,12396,38640,-204,1844,0,18500,956,10672,356,0,-488,652,1160,-196,0,1532,800,0,1708,0,0,0,-264,1612
1978:Q3,34324,-2208,23956,12576,34324,176,-2316,0,6164,-872,17068,44,0,-268,-848,3744,6204,0,2280,800,0,-1128,0,0,0,-264,3540
1978:Q4,41148,-1452,23992,18608,41148,2352,-24,0,19656,-216,12464,268,0,-400,2296,2848,-5172,0,8176,800,0,-648,0,0,0,-296,-956
1979:Q1,41440,-2512,24352,19600,41440,5620,2364,0,14000,-1728,8976,-160,0,-504,948,2312,4856,0,1868,2400,0,128,0,0,0,384,-24
1979:Q2,38548,-1788,20820,19516,38548,-744,264,0,14036,1188,13372,-40,0,-1428,924,3468,3356,0,256,2532,0,480,0,0,0,440,444
1979:Q3,44576,-304,17668,27212,44576,4140,-3440,0,14828,1852,11792,140,0,-704,1276,4140,5080,0,-1724,5008,0,180,0,0,0,440,1568
1979:Q4,59532,-528,34184,25876,59532,-4092,-3080,0,36584,-32,16248,144,0,-1236,1188,1432,2220,0,5180,3740,0,848,0,0,0,196,192
1980:Q1,55540,-256,35092,20704,55540,24836,532,0,9496,-20,11328,-212,0,-2224,-248,1956,3136,0,2484,-1652,0,32,0,0,1432,68,4596
1980:Q2,33816,-756,18324,16248,33816,-6380,144,0,-5580,2656,17860,-92,0,1080,-292,-524,6736,0,7208,8472,0,388,0,0,1956,0,184
1980:Q3,29724,-448,7472,22700,29724,-4744,-1160,0,-3476,-372,25276,-4,0,2556,-244,2256,5680,0,1076,-1304,0,236,0,0,1352,88,2508
1980:Q4,53288,-512,36728,17072,53288,-836,2104,0,1016,-172,25496,144,0,1268,1612,3364,7592,0,4124,-2580,0,236,0,0,7024,4,2892
1981:Q1,26816,-216,13828,13204,26816,-21100,152,0,3372,-68,15004,232,0,352,472,4448,7840,0,4472,6364,0,-580,0,0,3712,-180,2324
1981:Q2,53788,-636,40060,14364,53788,6356,6484,0,8256,-112,11912,52,0,-2008,836,5644,10484,0,2988,4232,0,732,0,0,-4636,-52,2620
1981:Q3,67112,-248,53284,14076,67112,-4948,2444,0,14500,-132,22992,776,0,-864,1168,2620,11148,0,4692,9008,0,-472,0,0,1604,52,2524
1981:Q4,33048,-264,14848,18464,33048,-5284,5216,0,11328,1856,18748,-256,0,3596,740,-116,-22056,0,8516,2860,0,952,0,0,8048,140,-1240
1982:Q1,39308,-2392,7132,34568,39308,3000,-7880,0,-13288,-448,34460,-40,0,440,1264,3456,14812,0,11948,-1924,0,-432,0,0,-4936,-844,-280
1982:Q2,72388,-84,35180,37292,72388,5788,112,0,-6052,-44,38968,8,0,-1208,1456,4468,14712,0,2624,13592,0,832,0,0,-4104,-876,2112
1982:Q3,77324,-168,24372,53120,77324,-9204,-5324,0,22688,-212,35424,60,0,-1836,1628,4132,8464,0,13784,7400,0,-140,0,0,1668,348,-1556
1982:Q4,65868,-368,-6916,73152,65868,-28696,3264,0,1032,-48,46536,-32,0,6320,1784,5308,9204,0,11884,-12660,0,-476,0,0,23816,352,-1720
1983:Q1,59416,144,-12720,71992,59416,8364,-1968,0,1608,-88,61244,-136,0,-1228,1980,2740,4928,0,4116,-8852,1396,-1876,0,0,-11124,44,-1732
1983:Q2,67908,-172,1904,66176,67908,2440,3692,0,1900,-100,33056,-128,0,6996,2224,3784,4848,0,3268,5328,2036,384,0,0,-1868,20,28
1983:Q3,77456,-96,3644,73908,77456,-1880,-2448,0,-2840,-612,39932,376,0,3084,2308,7544,10124,0,1000,3724,1408,-944,7156,0,9624,728,-828
1983:Q4,65840,-36,12800,53076,65840,-3956,4184,0,-1172,-368,13048,124,0,-1904,2228,14848,7672,0,11384,5412,1772,708,4824,0,3792,784,2460
1984:Q1,66516,-148,22172,44492,66516,3404,-6556,0,6340,-348,24020,-180,0,-88,3092,8924,1648,0,3760,9416,2820,-1168,7020,2760,2216,-344,-220
1984:Q2,67256,-48,36180,31124,67256,16504,2972,0,272,-228,34616,-16,0,796,3172,9776,-3552,0,-5564,3616,3472,884,7000,2756,-9748,-200,728
1984:Q3,98572,-28,49824,48776,98572,-164,1696,0,14836,-32,17160,628,0,-748,3568,10740,11952,0,2764,5760,4296,1316,7000,2748,12548,640,1864
1984:Q4,67296,-44,13544,53796,67296,10472,6416,0,-3376,-416,-13548,-636,0,-1572,3016,14588,12864,0,15264,-4444,4084,-120,2196,2024,17512,656,2316
1985:Q1,75816,-56,15688,60184,75816,-9753,-4544,0,41260,-68,-2824,-64,0,952,6200,12112,6788,0,748,2572,16124,-1900,15461,32,-9048,488,1280
1985:Q2,103408,-36,35216,68228,103408,57923,-2724,0,16324,-276,-27916,36,0,688,8776,11852,14624,0,-10616,8388,11376,2712,6841,44,1708,552,3096
1985:Q3,103328,-24,14384,88968,103328,-20250,124,0,7612,-304,26240,472,0,1568,7884,18828,8308,0,2860,9036,16328,888,9814,48,7400,1384,5088
1985:Q4,115188,8,17052,98128,115188,-58272,1936,0,56848,0,-4860,1484,0,1320,10120,7200,60232,0,-13728,-15472,36772,-1404,3832,640,19252,1416,7872
1986:Q1,101708,-216,-4968,106892,101708,-14724,600,0,-8472,-160,44096,2016,0,1524,2652,16528,6160,0,-12892,-3960,26720,-1680,27512,4608,6720,-800,5260
1986:Q2,156940,8,18992,137940,156940,12670,1404,0,-29184,-200,98748,1980,0,-84,-396,9540,-9636,0,4492,-9188,39780,-764,18566,5156,6536,-672,8192
1986:Q3,212560,1576,23688,187296,212560,-699,4928,0,26416,-360,91344,1200,0,2444,-1416,3340,-2988,0,7524,1480,43880,84,13623,5144,10380,300,5936
1986:Q4,246124,196,23148,222780,246124,5924,-13560,0,5560,-872,96900,844,0,3280,-420,13024,-25420,0,968,-300,32532,-36,113704,4828,1104,-412,8476
1987:Q1,160784,3944,-18536,175376,160784,-9462,-344,0,-43396,-440,53768,-20,0,2932,76,11120,9376,0,7080,6172,50764,80,62846,6920,-160,628,2844
1987:Q2,186540,-1868,29580,158828,186540,18080,2928,0,5712,-144,90284,1332,0,2116,48,7952,28588,0,5576,-3236,3560,-80,26972,7804,-15484,440,4092
1987:Q3,158680,-904,31816,127768,158680,8635,120,0,23104,-240,62140,2492,0,-4004,64,11640,7236,0,6464,10228,-7164,-140,20649,8160,3536,0,5760
1987:Q4,172168,4972,77956,89240,172168,8603,-1552,0,35512,-280,79800,1168,0,-964,124,1836,7292,0,136,34260,-27620,-156,2517,5220,18628,196,7448
1988:Q1,74516,-492,41220,33788,74516,-21902,4216,0,-13452,0,14160,604,1156,-6944,100,7016,34204,0,-10536,11100,-5356,1396,39498,1848,17720,-880,568
1988:Q2,95072,7724,17452,69896,95072,-9997,9620,0,21420,0,55784,1192,140,-2612,4,10500,2588,0,-3036,-31084,7600,-300,25197,3376,-5816,-104,10600
1988:Q3,166604,20896,42420,103288,166604,12750,-756,0,54884,0,57476,1272,168,840,172,6680,9844,0,-44,-4468,-4608,0,14562,2872,8924,192,5844
1988:Q4,216648,41608,78440,96600,216648,102142,416,0,28416,0,69280,1292,228,2072,616,12676,10668,0,-16840,-9644,-5112,-244,22182,3332,-15672,920,9920
1989:Q1,164387,-1176,64876,100687,164387,-48235,6680,0,47256,-3096,33268,2700,316,-4822,2280,23656,43216,0,10292,-17492,-620,-72,10904,1864,40204,-48,16136
1989:Q2,119906,5132,18680,96094,119906,-47627,-2408,0,37620,-500,34372,1524,416,-866,3168,32376,14492,0,24032,13072,-13700,996,-8785,-2452,27012,-88,7252
1989:Q3,142990,7100,5772,130118,142990,38250,-2104,0,34652,-396,-21400,-3172,404,-420,3888,26024,15404,0,13860,-3312,8156,3252,7972,1512,8828,-340,11932
1989:Q4,177160,-4580,11592,170148,177160,55047,10424,0,4136,-120,-22712,148,280,2576,4440,20228,22264,0,15240,18000,-156,19516,-42215,180,43328,1552,25004
1990:Q1,178136,29572,6100,142464,178136,46673,-8496,0,-42552,-4,49024,2720,160,9338,4948,16628,50060,0,12044,4372,17772,6984,23313,784,-25048,740,8676
1990:Q2,173121,5372,11616,156133,173121,66281,-7016,0,-124,-312,12476,1168,52,7755,5400,15992,19908,0,7484,27956,2720,5528,2590,-1840,3072,-1844,5876
